site,year_month,reported_headcount,new_hires,terminations,open_roles,system_headcount,headcount_variance
Israel,2023-01,133,2,2,9,126,7
US - Newport Beach,2023-01,126,0,0,3,119,7
US - San Antonio,2023-01,112,2,1,14,108,4
Japan,2023-01,155,0,2,14,144,11
Israel,2023-02,135,3,0,9,126,9
US - Newport Beach,2023-02,131,2,3,12,118,13
US - San Antonio,2023-02,111,0,0,0,108,3
Japan,2023-02,155,3,3,4,143,12
Israel,2023-03,133,0,0,3,126,7
US - Newport Beach,2023-03,132,2,0,4,118,14
US - San Antonio,2023-03,116,1,2,5,106,10
Japan,2023-03,156,0,0,12,142,14
Israel,2023-04,137,2,2,13,126,11
US - Newport Beach,2023-04,126,2,1,8,118,8
US - San Antonio,2023-04,108,0,0,1,106,2
Japan,2023-04,145,2,3,14,140,5
Israel,2023-05,133,1,1,13,126,7
US - Newport Beach,2023-05,126,0,1,2,117,9
US - San Antonio,2023-05,114,1,3,13,105,9
Japan,2023-05,149,1,0,10,139,10
Israel,2023-06,135,0,0,7,126,9
US - Newport Beach,2023-06,132,0,0,7,117,15
US - San Antonio,2023-06,111,2,2,1,103,8
Japan,2023-06,142,3,1,14,138,4
Israel,2023-07,133,0,2,0,124,9
US - Newport Beach,2023-07,125,0,0,6,116,9
US - San Antonio,2023-07,114,0,0,6,103,11
Japan,2023-07,144,3,2,9,137,7
Israel,2023-08,134,2,1,13,123,11
US - Newport Beach,2023-08,123,1,3,15,114,9
US - San Antonio,2023-08,107,1,1,14,103,4
Japan,2023-08,140,3,1,11,137,3
Israel,2023-09,128,2,3,15,121,7
US - Newport Beach,2023-09,119,2,2,1,114,5
US - San Antonio,2023-09,108,0,0,15,103,5
Japan,2023-09,144,2,0,12,136,8
Israel,2023-10,134,3,3,8,119,15
US - Newport Beach,2023-10,121,3,0,12,114,7
US - San Antonio,2023-10,106,0,2,15,102,4
Japan,2023-10,138,0,1,5,136,2
Israel,2023-11,130,1,1,8,119,11
US - Newport Beach,2023-11,126,2,1,5,112,14
US - San Antonio,2023-11,102,2,2,2,100,2
Japan,2023-11,141,0,0,12,135,6
Israel,2023-12,131,0,2,4,118,13
US - Newport Beach,2023-12,116,3,4,14,110,6
US - San Antonio,2023-12,105,2,2,6,99,6
Japan,2023-12,137,3,1,3,134,3
Israel,2024-01,128,1,0,11,118,10
US - Newport Beach,2024-01,119,1,0,9,110,9
US - San Antonio,2024-01,105,1,3,9,98,7
Japan,2024-01,141,0,2,0,131,10
Israel,2024-02,132,1,2,14,118,14
US - Newport Beach,2024-02,113,0,3,3,109,4
US - San Antonio,2024-02,106,3,1,8,97,9
Japan,2024-02,135,3,2,0,128,7
Israel,2024-03,128,2,2,15,116,12
US - Newport Beach,2024-03,119,2,2,2,107,12
US - San Antonio,2024-03,103,0,1,4,96,7
Japan,2024-03,132,2,2,9,126,6
Israel,2024-04,120,1,2,9,116,4
US - Newport Beach,2024-04,113,1,2,3,104,9
US - San Antonio,2024-04,101,0,2,1,95,6
Japan,2024-04,133,0,1,14,124,9
Israel,2024-05,122,0,3,7,114,8
US - Newport Beach,2024-05,110,3,0,9,104,6
US - San Antonio,2024-05,96,2,3,0,94,2
Japan,2024-05,124,1,2,6,122,2
Israel,2024-06,125,3,5,4,111,14
US - Newport Beach,2024-06,113,0,1,3,103,10
US - San Antonio,2024-06,104,0,0,2,94,10
Japan,2024-06,128,2,3,1,120,8
Israel,2024-07,114,2,2,7,110,4
US - Newport Beach,2024-07,110,2,3,8,100,10
US - San Antonio,2024-07,96,0,3,12,93,3
Japan,2024-07,119,0,3,12,118,1
Israel,2024-08,116,0,3,8,108,8
US - Newport Beach,2024-08,108,1,5,5,97,11
US - San Antonio,2024-08,101,0,3,9,92,9
Japan,2024-08,128,0,1,7,117,11
Israel,2024-09,111,0,2,12,106,5
US - Newport Beach,2024-09,96,0,4,4,93,3
US - San Antonio,2024-09,93,2,3,12,90,3
Japan,2024-09,119,1,0,9,117,2
Israel,2024-10,113,0,5,7,103,10
US - Newport Beach,2024-10,92,3,3,2,89,3
US - San Antonio,2024-10,94,3,3,9,87,7
Japan,2024-10,126,0,1,3,117,9
Israel,2024-11,114,0,2,7,103,11
US - Newport Beach,2024-11,94,3,2,11,89,5
US - San Antonio,2024-11,90,3,0,4,87,3
Japan,2024-11,118,3,0,15,117,1
Israel,2024-12,114,3,0,0,103,11
US - Newport Beach,2024-12,98,3,0,7,89,9
US - San Antonio,2024-12,92,2,1,2,87,5
Japan,2024-12,120,1,2,8,116,4
